Player|Innings|Overs|Maidens|Runs|Wickets|Average|Economy|StrikeRate|FourWickets|FiveWickets|Country
Sayed Shirzad|4|15|1|116|7|16.5714285714286|7.73333333333333|12.8571428571429|0|0|Afghanistan
Sediqullah Atal|||||||||||Afghanistan
Shabbir Ahmed|1|2|0|19|0|Inf|9.5|Inf|0|0|Pakistan
Shabir Noori|||||||||||Afghanistan
Shadab Khan|95|347.1|3|2511|107|23.4672897196262|7.23283725396063|19.4672897196262|3|0|Pakistan
Shafiqullah|||||||||||Afghanistan
Shafiul Islam|20|66.4|1|532|20|26.6|7.98|20|0|0|BAN
Shahadat Hossain|6|20|0|198|4|49.5|9.9|30|0|0|BAN
Shahadat Hossain (3)|||||||||||BAN
Shahbaz Ahmed|2|5.2|0|41|2|20.5|7.6875|16|0|0|India
Shaheen Shah Afridi|69|251.4|2|1936|93|20.8172043010753|7.69271523178808|16.236559139785|2|0|Pakistan
Shahid Afridi|5|12|0|126|3|42|10.5|24|0|0|Pakistan
Shahidullah|||||||||||Afghanistan
Shahnawaz Dahani|11|35.2|1|320|8|40|9.05660377358491|26.5|0|0|Pakistan
Shahriar Nafees|||||||||||BAN
Shahzaib Hasan|||||||||||Pakistan
Shakeel Ansar|||||||||||Pakistan
Shakib Al Hasan|122|444.1|3|3023|146|20.7054794520548|6.80600375234522|18.2534246575342|6|2|BAN
Shamim Hossain|2|2|0|11|0|Inf|5.5|Inf|0|0|BAN
Shamsur Rahman|||||||||||BAN
Shan Masood|||||||||||Pakistan
Shapoor Zadran|36|115.5|3|907|37|24.5135135135135|7.83021582733813|18.7837837837838|0|0|Afghanistan
Sharafuddin Ashraf|16|46|1|342|8|42.75|7.43478260869565|34.5|0|0|Afghanistan
Sharjeel Khan|||||||||||Pakistan
Shivam Mavi|6|14|0|123|7|17.5714285714286|8.78571428571429|12|1|0|India
Shoaib Akhtar|15|53|3|432|19|22.7368421052632|8.15094339622642|16.7368421052632|0|0|Pakistan
Shoaib Khan jnr|||||||||||Pakistan
Shohidul Islam|1|3.5|0|33|1|33|8.60869565217391|23|0|0|BAN
Shoriful Islam|40|136.5|1|1115|46|24.2391304347826|8.14859926918392|17.8478260869565|0|0|BAN
Shubman Gill|||||||||||India
